등록번호,학원명,지역,주소,학년상태,공시학년,과목별학년,이전공개학년,등록근거,보류문구,후기검토단서,기존순위대상,점검일
5997,이루리,daechi,서울특별시 강남구 도곡로 440,미확인,,"{""general"": """", ""math"": """"}","중등, 고등",[],[],"{""middle"": 5, ""high"": 16, ""elem_high"": 1, ""elem_low"": 2}",예,2026-09-19
3000030819,잼코딩,daechi,서울특별시 강남구 선릉로64길 17,미확인,,"{""etc"": """"}",고등,[],[],"{""high"": 7, ""middle"": 1}",예,2026-09-19
1000036446,짱솔학원,daechi,서울특별시 강남구 남부순환로 2935,미확인,,"{""general"": """", ""math"": """"}","중등, 고등",[],[],"{""middle"": 21, ""elem_high"": 3, ""high"": 9}",예,2026-09-19
3000048167,코리아엔터아카데미학원,daechi,서울특별시 강남구 강남대로94길 20,미확인,,"{""arts"": """"}",,[],[],"{""high"": 2}",예,2026-09-19
3000017660,콴다일로,daechi,서울특별시 강남구 삼성로 301,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 6, ""middle"": 3}",예,2026-09-19
11002,프라우드세븐학원,daechi,서울특별시 강남구 삼성로51길 8,미확인,,"{""general"": """", ""english"": """"}",고등,[],[],"{""high"": 5, ""elem_low"": 4, ""middle"": 1}",예,2026-09-19
3000054552,프리미어에듀학원,daechi,서울특별시 강남구 도곡로7길 17,미확인,,"{""general"": """", ""english"": """"}",,[],[],"{""middle"": 1, ""elem_low"": 2, ""high"": 1}",예,2026-09-19
14212,피아이어학원,daechi,서울특별시 강남구 삼성로64길 51,미확인,,"{""english"": """"}","초등저학년, 초등고학년",[],[],"{""elem_low"": 94, ""middle"": 67, ""elem_high"": 48, ""high"": 55}",예,2026-09-19
3000030122,필즈더클래식,daechi,서울특별시 강남구 도곡로99길 16,미확인,,"{""general"": """", ""math"": """"}","초등저학년, 고등",[],[],"{""high"": 23, ""elem_low"": 38, ""elem_high"": 4, ""middle"": 2}",예,2026-09-19
3000027539,하이원학원,daechi,서울특별시 강남구 남부순환로 2941,미확인,,"{""general"": """", ""math"": """"}","중등, 고등",[],[],"{""high"": 20, ""middle"": 18, ""elem_high"": 5, ""elem_low"": 1}",예,2026-09-19
16785,한국영재학원,daechi,서울특별시 강남구 선릉로 225,미확인,,"{""etc"": """"}","초등고학년, 중등",[],[],"{""middle"": 5, ""elem_high"": 12, ""high"": 2, ""elem_low"": 1}",예,2026-09-19
3000022090,강호국어학원,jamsil,서울특별시 송파구 석촌호수로 98,미확인,,"{""korean"": """"}",고등,[],[],"{""high"": 3}",예,2026-09-19
2000007192,고운,jamsil,서울특별시 송파구 백제고분로14길 7,미확인,,"{""etc"": """"}",,[],[],"{""middle"": 4, ""high"": 2, ""elem_high"": 1}",예,2026-09-19
3000021338,깊은생각,jamsil,서울특별시 송파구 위례성대로16길 9,미확인,,"{""general"": """", ""math"": """"}",,[],[],"{""high"": 3, ""middle"": 3}",예,2026-09-19
